Harry Potter
Ron Weasley
Hermione Granger
Colin Creevey
Seamus Finnigan
Hannah Abbott
Pansy Parkinson
Zacharias Smith
Blaise Zabini
Draco Malfoy
Dean Thomas
Millicent Bulstrode
Terry Boot
Ernie Macmillan
Vincent Crabbe
Gregory Goyle
Lavender Brown
Katie Bell
Parvati Patil
Dennis Creevey
Eloise Midgen
Ritchie Coote
Jack Sloper
Victoria Frobisher
Geoffrey Hooper
Andrew Kirke
Demelza Robins
Cormac McLaggen
Neville Longbottom
Ginny Weasley
Romilda Vane
Natalie McDonald
Jimmy Peakes
Euan Abercrombie
Mary MacDonald
Penelope Clearwater
Roger Davies
Eddie Carmichael
Cho Chang
Marietta Edgecombe
Mandy Brocklehurst
Michael Corner
Stephen Cornfoot
Kevin Entwhistle
Anthony Goldstein
Su Li
Morag McDougal
Padma Patil
Lisa Turpin
Luna Lovegood
Orla Quirke
Stewart Ackerley
Susan Bones
Eleanor Branstone
Owen Cauldwell
Justin Finch-Fletchley
Wayne Hopkins
Megan Jones
Laura Madley
Kevin Whitby
Rose Zeller
Terence Higgs
Adrian Pucey
Tracey Davis
Lilian Moon
Daphne Greengrass
Theodore Nott
Astoria Greengrass
Malcolm Baddock
Graham Pritchard
Tom Riddle
Percy Weasley
Bill Weasley
Charlie Weasley
Fred Weasley
George Weasley
Aberforth Dumbledore
Albus Dumbledore
Rubeus Hagrid
Oliver Wood
